Google Title,Google Author,Google Author URL,Google Abstract
Utilisation of deep learning for COVID-19 diagnosis,"S Aslani, J Jacob - Clinical Radiology, 2023 - Elsevier",https://scholar.google.com//citations?user=46Dd4v4AAAAJ&hl=zh-CN&oe=GB&oi=sra, This paper provides a review of deep-learning-based AI techniques for COVID-19 diagnosis  (3D) deep convolutional neural networks combined with transfer learning for COVID-19 
Deep learning for medical image analysis,"SK Zhou, H Greenspan, D Shen - 2023 - books.google.com",https://scholar.google.com//citations?user=GLGudM8AAAAJ&hl=zh-CN&oe=GB&oi=sra," of deep learning approaches  , deep learning, and deep reinforcement learning, as well as the latest CapsNet and transformer network architectures, presents a set of new deep learning "
A survey on ensemble learning under the era of deep learning,"Y Yang, H Lv, N Chen - Artificial Intelligence Review, 2023 - Springer",https://scholar.google.com//citations?user=WXOaxKMAAAAJ&hl=zh-CN&oe=GB&oi=sra," routes of both traditional ensemble learning and ensemble deep learning. First, through  learning and the gap between ensemble deep learning and traditional ensemble learning. "
Deep learning in asset pricing,"L Chen, M Pelger, J Zhu - Management Science, 2024 - pubsonline.informs.org",https://scholar.google.com//citations?user=MN9Kfg8AAAAJ&hl=zh-CN&oe=GB&oi=sra," learning estimators by incorporating economic structure. Including the no-arbitrage constraint in the learning  of our model, 1.5 for the deep learning forecasting approach, and 0.8 for the "
"Deep learning modelling techniques: current progress, applications, advantages, and challenges","SF Ahmed, MSB Alam, M Hassan, MR Rozbu… - Artificial Intelligence …, 2023 - Springer",https://scholar.google.com//citations?user=Z_WrhK8AAAAJ&hl=zh-CN&oe=GB&oi=sra," all available deep learning modelling approaches Deep learning”, “Deep learning architecture”, “Deep learning modelling”, “Advantages of deep learning”, “Challenges of deep learning"
Overview of behavior recognition based on deep learning,"K Hu, J Jin, F Zheng, L Weng, Y Ding - Artificial intelligence review, 2023 - Springer",https://scholar.google.com//citations?user=Tb0ZrYwAAAAJ&hl=zh-CN&oe=GB&oi=sra," of deep learning algorithms, behavior recognition algorithms based on deep learning have  , behavior recognition algorithms based on deep learning have the advantages of strong "
"Artificial intelligence, machine learning and deep learning in advanced robotics, a review","M Soori, B Arezoo, R Dastres - Cognitive Robotics, 2023 - Elsevier",https://scholar.google.com//citations?user=HR61TagAAAAJ&hl=zh-CN&oe=GB&oi=sra," used in deep learning, a type of machine learning (ML), to help computers learn from massive  Machine Learning is used to enable robots to learn from their experiences and improve "
Deep learning for power quality,"RA de Oliveira, MHJ Bollen - Electric Power Systems Research, 2023 - Elsevier",https://scholar.google.com//citations?user=gGB0L4kAAAAJ&hl=zh-CN&oe=GB&oi=sra," deep learning to power quality. It presents the main barriers, research gaps, gains and suggestions for applying deep learning  semi-supervised learning, explainable deep learning and "
Effects of image size on deep learning,"O Rukundo - Electronics, 2023 - mdpi.com",https://scholar.google.com//citations?user=8ONXPV8AAAAJ&hl=zh-CN&oe=GB&oi=sra, importance of improving the deep learning-based segmentation  predictive capability or performance of deep learning-based U-net  method to carry out deep learning-based semantic 
Predictive models for concrete properties using machine learning and deep learning approaches: A review,"MM Moein, A Saradar, K Rahmati… - Journal of Building …, 2023 - Elsevier",https://scholar.google.com//citations?user=ZX8js60AAAAJ&hl=zh-CN&oe=GB&oi=sra," can learn from data and display more accurate results as output data [[21], [22], [23]]. Machine learning  This article reviews the successful application of the machine and deep learning "
A review on methods and applications in multimodal deep learning,"S Jabeen, X Li, MS Amin, O Bourahla, S Li… - ACM Transactions on …, 2023 - dl.acm.org",https://scholar.google.com//citations?user=tklL2q0AAAAJ&hl=zh-CN&oe=GB&oi=sra," learning, and the description of four eras is explained further. In this article, we concentrate mainly on the deep learning  Five main technical challenges of multimodal deep learning [11] "
"A survey of machine learning and deep learning in remote sensing of geological environment: Challenges, advances, and opportunities","W Han, X Zhang, Y Wang, L Wang, X Huang… - ISPRS Journal of …, 2023 - Elsevier",https://scholar.google.com//citations?user=5h8ttccAAAAJ&hl=zh-CN&oe=GB&oi=sra, Mainstream machine learning (ML) and deep learning (DL) methods can extract high-level high-dimensional semantic information and thus supply an efficient tool for high-precision 
A review of deep learning techniques for speech processing,"A Mehrish, N Majumder, R Bharadwaj, R Mihalcea… - Information …, 2023 - Elsevier",https://scholar.google.com//citations?user=XCcV5ocAAAAJ&hl=zh-CN&oe=GB&oi=sra," how different deep-learning networks have  deep learning in speech processing, including the need for more parameter-efficient, interpretable models and the potential of deep learning "
Machine learning and deep learning—A review for ecologists,"M Pichler, F Hartig - Methods in Ecology and Evolution, 2023 - Wiley Online Library",https://scholar.google.com//citations?user=8eNm2GMAAAAJ&hl=zh-CN&oe=GB&oi=sra," Common machine learning algorithms or techniques such as  While the theoretical foundation for Deep learning was  (orange), machine learning (blue), and deep learning (green) terms "
A review of machine learning and deep learning approaches on mental health diagnosis,"NK Iyortsuun, SH Kim, M Jhon, HJ Yang, S Pant - Healthcare, 2023 - mdpi.com",https://scholar.google.com//citations?user=v6VYQC8AAAAJ&hl=zh-CN&oe=GB&oi=sra," battle these problems, machine learning approaches have been  With the growing interest in machine and deep learning  their use of machine learning and deep learning technologies, "
Blockchain for deep learning: review and open challenges,"M Shafay, RW Ahmad, K Salah, I Yaqoob… - Cluster …, 2023 - Springer",https://scholar.google.com//citations?user=Gjmj4-UAAAAJ&hl=zh-CN&oe=GB&oi=sra," -art blockchain-based deep learning frameworks by highlighting their  deep learning frameworks based on four parameters such as blockchain type, consensus protocol, deep learning "
Deep learning attention mechanism in medical image analysis: Basics and beyonds,"X Li, M Li, P Yan, G Li, Y Jiang, H Luo… - International Journal of …, 2023 - sciltp.com",https://scholar.google.com//citations?user=oEIcvA0AAAAJ&hl=zh-CN&oe=GB&oi=sra," Deep learning technology is expected to realize an auxiliary diagnosis and improve diagnostic efficiency. At present, the method of deep learning  This paper reviews the deep learning "
Data collection and quality challenges in deep learning: A data-centric ai perspective,"SE Whang, Y Roh, H Song, JG Lee - The VLDB Journal, 2023 - Springer",https://scholar.google.com//citations?user=FpNrPm8AAAAJ&hl=zh-CN&oe=GB&oi=sra," Without good data, even the best machine learning  deep learning applications. Data collection is important because there is lesser need for feature engineering for recent deep learning "
Training spiking neural networks using lessons from deep learning,"JK Eshraghian, M Ward, EO Neftci… - Proceedings of the …, 2023 - ieeexplore.ieee.org",https://scholar.google.com//citations?user=8CXjgoIAAAAJ&hl=zh-CN&oe=GB&oi=sra," the future of deep learning might look like. This article serves as a tutorial and perspective showing how to apply the lessons learned from several decades of research in deep learning, "
The significance of machine learning and deep learning techniques in cybersecurity: A comprehensive review,"M Mijwil, IE Salem, MM Ismaeel - Iraqi Journal For Computer Science and …, 2023 - iasj.net",https://scholar.google.com//citations?user=7tL4-pQAAAAJ&hl=zh-CN&oe=GB&oi=sra," role of machine learning and deep learning techniques in  have used machine learning and deep learning techniques in  that have used deep learning techniques in intrusion, attack, "
A comprehensive survey of image augmentation techniques for deep learning,"M Xu, S Yoon, A Fuentes, DS Park - Pattern Recognition, 2023 - Elsevier",https://scholar.google.com//citations?user=fHCBwPgAAAAJ&hl=zh-CN&oe=GB&oi=sra," Although deep learning has achieved satisfactory performance in computer vision, a large  In this study, we perform a comprehensive survey of image augmentation for deep learning "
Deep learning for image inpainting: A survey,"H Xiang, Q Zou, MA Nawaz, X Huang, F Zhang, H Yu - Pattern Recognition, 2023 - Elsevier",https://scholar.google.com//citations?user=HWNOMJ8AAAAJ&hl=zh-CN&oe=GB&oi=sra," the development of a large number of deep learning-based image inpainting methods.  advances in deep learning-based image inpainting. First, we categorize the deep learning-based "
Deep learning for computational cytology: A survey,"H Jiang, Y Zhou, Y Lin, RCK Chan, J Liu, H Chen - Medical Image Analysis, 2023 - Elsevier",https://scholar.google.com//citations?user=ahfgucoAAAAJ&hl=zh-CN&oe=GB&oi=sra," Recently, an increasing number of deep learning (DL) approaches have  deep learning schemes, including fully supervised, weakly supervised, unsupervised, and transfer learning. "
De novo design of luciferases using deep learning,"AHW Yeh, C Norn, Y Kipnis, D Tischer, SJ Pellock… - Nature, 2023 - nature.com",https://scholar.google.com//citations?user=tEAuK-EAAAAJ&hl=zh-CN&oe=GB&oi=sra, Here we describe a deep-learning-based ‘family-wide hallucination’ approach that generates large numbers of idealized protein structures containing diverse pocket shapes and 
Applications of deep learning in precision weed management: A review,"N Rai, Y Zhang, BG Ram, L Schumacher… - … and Electronics in …, 2023 - Elsevier",https://scholar.google.com//citations?user=hm5NJO8AAAAJ&hl=zh-CN&oe=GB&oi=sra,Deep Learning (DL) has been described as one of the key subfields of Artificial Intelligence (AI) that is transforming weed detection for site-specific weed management (SSWM). In the 
Autokeras: An automl library for deep learning,"H Jin, F Chollet, Q Song, X Hu - Journal of Machine Learning Research, 2023 - jmlr.org",https://scholar.google.com//citations?user=mTJlwtQAAAAJ&hl=zh-CN&oe=GB&oi=sra," To remove the barriers to adopting deep learning, we developed AutoKeras,  learning models into an extremely simple and flexible interface. Novice users can implement deep learning "
Adaptive Feature Fusion: Enhancing Generalization in Deep Learning Models,"N Mungoli - arXiv preprint arXiv:2304.03290, 2023 - arxiv.org",https://scholar.google.com//citations?user=XVdSwo4AAAAJ&hl=zh-CN&oe=GB&oi=sra," In recent years, deep learning models have demonstrated  enhance the generalization of deep learning models by dynamically  layers into existing deep learning architectures, enabling "
A comprehensive review of object detection with deep learning,"R Kaur, S Singh - Digital Signal Processing, 2023 - Elsevier",https://scholar.google.com//citations?user=126LiFUAAAAJ&hl=zh-CN&oe=GB&oi=sra," 2014, deep learning based methods take place [4]. This paper will focus on deep learning based  Before discussing deep learning based object detection algorithms, it is important to "
Deep learning in drug discovery: an integrative review and future challenges,"H Askr, E Elgeldawi, H Aboul Ella… - Artificial Intelligence …, 2023 - Springer",https://scholar.google.com//citations?user=RsGQrskAAAAJ&hl=zh-CN&oe=GB&oi=sra," invention, Machine Learning and Deep Learning have revolutionized the world's perspective. Deep learning  We'll review the various deep learning models in this section (Sarker 2021). "
Deep learning image reconstruction for CT: technical principles and clinical prospects,"LR Koetzier, D Mastrodicasa, TP Szczykutowicz… - Radiology, 2023 - pubs.rsna.org",https://scholar.google.com//citations?user=0A3nOd4AAAAJ&hl=zh-CN&oe=GB&oi=sra, learning algorithms and other deep learning MAR algorithms (supervised and unsupervised learning showed that deep learning MAR outperformed non–deep learning MAR algorithms (
Structure-based drug design with geometric deep learning,"C Isert, K Atz, G Schneider - Current Opinion in Structural Biology, 2023 - Elsevier",https://scholar.google.com//citations?user=3ormX8kAAAAJ&hl=zh-CN&oe=GB&oi=sra," learning, has been applied to macromolecular structures. This review provides an overview of the recent applications of geometric deep learning in  of geometric deep learning for drug "
Deep learning approaches to grasp synthesis: A review,"R Newbury, M Gu, L Chumbley… - IEEE Transactions …, 2023 - ieeexplore.ieee.org",https://scholar.google.com//citations?user=TYNPJQMAAAAJ&hl=zh-CN&oe=GB&oi=sra," In this review, we focus on deep learning approaches applied to six-DoF grasping, in particular on the grasp synthesis stage of the grasping process. There are recently published "
A survey on using deep learning techniques for plant disease diagnosis and recommendations for development of appropriate tools,"A Ahmad, D Saraswat, A El Gamal - Smart Agricultural Technology, 2023 - Elsevier",https://scholar.google.com//citations?user=Qep28aQAAAAJ&hl=zh-CN&oe=GB&oi=sra, diagnosis in plants using deep learning techniques must be  the potential of deep learning techniques for precision  of 70 studies on deep learning applications and the trends 
Challenges of deep learning in medical image analysis—Improving explainability and trust,"T Dhar, N Dey, S Borra… - IEEE Transactions on …, 2023 - ieeexplore.ieee.org",https://scholar.google.com//citations?user=H9eefQIAAAAJ&hl=zh-CN&oe=GB&oi=sra, The application of deep learning  But deep learning faces some major threats to the flourishing healthcare domain. This paper traverses the major challenges that the deep learning 
Scaling deep learning for materials discovery,"A Merchant, S Batzner, SS Schoenholz, M Aykol… - Nature, 2023 - nature.com",https://scholar.google.com//citations?user=dVQGfEEAAAAJ&hl=zh-CN&oe=GB&oi=sra, When scaled to the GNoME dataset—much larger than existing approaches—we find that deep learning unlocks previously impossible capabilities for building transferable interatomic 
Deep learning-based human pose estimation: A survey,"C Zheng, W Wu, C Chen, T Yang, S Zhu, J Shen… - ACM Computing …, 2023 - dl.acm.org",https://scholar.google.com//citations?user=G4d0cn4AAAAJ&hl=zh-CN&oe=GB&oi=sra," methods without deep learning. A survey on both traditional and deep learning-based methods related to HPE is presented in [61]. However, only a handful of deep learning-based "
"Artificial intelligence, machine learning, and deep learning in structural engineering: a scientometrics review of trends and best practices","ATG Tapeh, MZ Naser - Archives of Computational Methods in …, 2023 - Springer",https://scholar.google.com//citations?user=v8pbAYIAAAAJ&hl=zh-CN&oe=GB&oi=sra,"Artificial Intelligence (AI), machine learning (ML), and deep learning (DL) are emerging techniques capable of delivering elegant and affordable solutions which can surpass those "
Machine learning and deep learning approach for medical image analysis: diagnosis to detection,"M Rana, M Bhushan - Multimedia Tools and Applications, 2023 - Springer",https://scholar.google.com//citations?user=GXDbvNUAAAAJ&hl=zh-CN&oe=GB&oi=sra," Computer-aided detection using Deep Learning (DL) and Machine Learning (ML) shows  Hence, DL is considered as the enhanced technique of ML where ML uses the learning "
A comprehensive survey on design and application of autoencoder in deep learning,"P Li, Y Pei, J Li - Applied Soft Computing, 2023 - Elsevier",https://scholar.google.com//citations?user=F5cOlwUAAAAJ&hl=zh-CN&oe=GB&oi=sra, The multilayer structure and abstraction of learning models establish the fundamental framework of deep learning. The multi-layered structure of deep learning is achieved through 
Machine learning and deep learning for sentiment analysis across languages: A survey,"EM Mercha, H Benbrahim - Neurocomputing, 2023 - Elsevier",https://scholar.google.com//citations?user=4q8VxIIAAAAJ&hl=zh-CN&oe=GB&oi=sra, machine learning and deep learning models. We categorize these methods and techniques and provide new research directions. Our findings reveal that deep learning techniques 
Biometrics recognition using deep learning: A survey,"S Minaee, A Abdolrashidi, H Su, M Bennamoun… - Artificial Intelligence …, 2023 - Springer",https://scholar.google.com//citations?user=jPfEvuQAAAAJ&hl=zh-CN&oe=GB&oi=sra," Deep learning-based models have increasingly been  recognition), which deploy deep learning models, and show their  We will then talk about several promising deep learning works "
A review of the application of deep learning in intelligent fault diagnosis of rotating machinery,"Z Zhu, Y Lei, G Qi, Y Chai, N Mazur, Y An, X Huang - Measurement, 2023 - Elsevier",https://scholar.google.com//citations?user=nomHn1sAAAAJ&hl=zh-CN&oe=GB&oi=sra," Due to large-size monitoring data of equipment conditions, deep learning (DL) has been  Based on deep learning models, this paper divides existing research into five categories: deep "
Enhanced lung image segmentation using deep learning,"S Gite, A Mishra, K Kotecha - Neural Computing and Applications, 2023 - Springer",https://scholar.google.com//citations?user=UetM7FgAAAAJ&hl=zh-CN&oe=GB&oi=sra," Thus, the deep learning applications in the healthcare sector  Solutions based on machine learning (ML) and deep learning (DL learning technique was used along with a deep learning "
{AlpaServe}: Statistical multiplexing with model parallelism for deep learning serving,"Z Li, L Zheng, Y Zhong, V Liu, Y Sheng, X Jin… - … USENIX Symposium on …, 2023 - usenix.org",https://scholar.google.com//citations?user=u0KkMXcAAAAJ&hl=zh-CN&oe=GB&oi=sra," Since the execution time of a deep learning inference task is highly predictable [19], we assume the request serving time is deterministic. For the single device case, suppose the "
Deep learning-enabled virtual histological staining of biological samples,"B Bai, X Yang, Y Li, Y Zhang, N Pillar… - Light: Science & …, 2023 - nature.com",https://scholar.google.com//citations?user=AdcDit0AAAAJ&hl=zh-CN&oe=GB&oi=sra," We will first introduce the basic concepts and typical workflow of virtual staining via deep learning. Next, we will highlight some key results from representative works in this field and dive "
Deep learning based brain tumor segmentation: a survey,"Z Liu, L Tong, L Chen, Z Jiang, F Zhou, Q Zhang… - Complex & intelligent …, 2023 - Springer",https://scholar.google.com//citations?user=UTdEHPsAAAAJ&hl=zh-CN&oe=GB&oi=sra," With the promising performance made by powerful deep learning methods, a number of deep learning based methods have been applied upon brain tumor segmentation to extract "
ImmuneBuilder: Deep-Learning models for predicting the structures of immune proteins,"B Abanades, WK Wong, F Boyles, G Georges… - Communications …, 2023 - nature.com",https://scholar.google.com//citations?user=z-GcAeQAAAAJ&hl=zh-CN&oe=GB&oi=sra," Here, we present ImmuneBuilder, a set of deep learning models trained to accurately predict the structure of antibodies (ABodyBuilder2), nanobodies (NanoBodyBuilder2) and T-Cell "
The role of machine learning and deep learning approaches for the detection of skin cancer,"T Mazhar, I Haq, A Ditta, SAH Mohsan, F Rehman… - Healthcare, 2023 - mdpi.com",https://scholar.google.com//citations?user=i6ZWbbwAAAAJ&hl=zh-CN&oe=GB&oi=sra," In this study, deep learning was used to learn how to recognize skin cancer. Using a collection of dermoscopy photos, we classified skin lesions. Several innovative image processing "
Deep learning recommendations of E-education based on clustering and sequence,"F Safarov, A Kutlimuratov, AB Abdusalomov… - Electronics, 2023 - mdpi.com",https://scholar.google.com//citations?user=4Y2nHcsAAAAJ&hl=zh-CN&oe=GB&oi=sra," Commercial e-learning platforms have been using RSs that  The e-learning platforms have established a few models for  In recent times, deep learning (DL) has radically changed "
Obtaining genetics insights from deep learning via explainable artificial intelligence,"G Novakovsky, N Dexter, MW Libbrecht… - Nature Reviews …, 2023 - nature.com",https://scholar.google.com//citations?user=j7KZc98AAAAJ&hl=zh-CN&oe=GB&oi=sra," In the sections that follow, we first provide fundamental information on how deep learning methods are used in regulatory genomics, and then we categorize four approaches for "
An overview of biomedical image analysis from the deep learning perspective,"S Chakraborty, K Mali - … on improving medical imaging techniques for …, 2023 - igi-global.com",https://scholar.google.com//citations?user=s2X97uIAAAAJ&hl=zh-CN&oe=GB&oi=sra, machine learning methods are discussed and then the deep learning  Machine learning methods are the basis of deep learning  learning concepts for better understanding of the deep 
Deep learning for fluid velocity field estimation: A review,"C Yu, X Bi, Y Fan - Ocean Engineering, 2023 - Elsevier",https://scholar.google.com//citations?user=YamwZRIAAAAJ&hl=zh-CN&oe=GB&oi=sra," component of deep learning methods. We then review and analyze deep learning based  In addition, SR reconstruction methods for velocity fields based on deep learning technique "
Multistain deep learning for prediction of prognosis and therapy response in colorectal cancer,"S Foersch, C Glasner, AC Woerl, M Eckstein… - Nature medicine, 2023 - nature.com",https://scholar.google.com//citations?user=7xxeOfcAAAAJ&hl=zh-CN&oe=GB&oi=sra," Next, the aim was to establish the baseline prognostic capability of our deep learning approach for  Hence, we concluded that our deep learning approach could be used to classify CRC "
Deep learning for image enhancement and correction in magnetic resonance imaging—state-of-the-art and challenges,"Z Chen, K Pawar, M Ekanayake, C Pain, S Zhong… - Journal of Digital …, 2023 - Springer",https://scholar.google.com//citations?user=DNDtXD0AAAAJ&hl=zh-CN&oe=GB&oi=sra," survey of deep learning approaches  deep learning, we highlight the importance of a critical appraisal of the explanatory information provided and the generalizability of deep learning "
"A survey on deep learning tools dealing with data scarcity: definitions, challenges, solutions, tips, and applications","L Alzubaidi, J Bai, A Al-Sabaawi, J Santamaría… - Journal of Big Data, 2023 - Springer",https://scholar.google.com//citations?user=w6hts30AAAAJ&hl=zh-CN&oe=GB&oi=sra,"Data scarcity is a major challenge when training deep learning (DL) models. DL demands a large amount of data to achieve exceptional performance. Unfortunately, many applications "
Deep learning for change detection in remote sensing: a review,"T Bai, L Wang, D Yin, K Sun, Y Chen… - Geo-spatial Information …, 2023 - Taylor & Francis",https://scholar.google.com//citations?user=y9QdebwAAAAJ&hl=zh-CN&oe=GB&oi=sra," The evolution of deep learning has demonstrated  Deep learning is a particular kind of machine learning method based on artificial neural networks with representation learning (LeCun, "
Defect detection methods for industrial products using deep learning techniques: a review,"A Saberironaghi, J Ren, M El-Gindy - Algorithms, 2023 - mdpi.com",https://scholar.google.com//citations?user=Ijzuc-8AAAAJ&hl=zh-CN&oe=GB&oi=sra," on detecting defects using machine learning methods. First, deep learning-based detection of  Secondly, the current research status of deep learning defect detection methods for X-ray "
A review on recent developments in cancer detection using Machine Learning and Deep Learning models,"S Maurya, S Tiwari, MC Mothukuri, CM Tangeda… - … Signal Processing and …, 2023 - Elsevier",https://scholar.google.com//citations?user=h9mbv9MAAAAJ&hl=zh-CN&oe=GB&oi=sra, diagnosis and detection using machine learning and deep learning techniques. There are  of cancer detection using machine learning and deep learning techniques but we did not 
Impact of word embedding models on text analytics in deep learning environment: a review,"DS Asudani, NK Nagwani, P Singh - Artificial intelligence review, 2023 - Springer",https://scholar.google.com//citations?user=C16f0r3hL-kC&hl=zh-CN&oe=GB&oi=sra, learn hierarchical representations of data. The word embedding technique represented by deep learning  the most prominent word embedding and deep learning models. It presents an 
Popular deep learning algorithms for disease prediction: a review,"Z Yu, K Wang, Z Wan, S Xie, Z Lv - Cluster Computing, 2023 - Springer",https://scholar.google.com//citations?user=QIQmrCYAAAAJ&hl=zh-CN&oe=GB&oi=sra," learning, the advantage of deep learning is that it can learn from the original data and has multiple hidden layers. It can learn abstract  This article will divide deep learning into two types "
Deep learning applications in surgery: Current uses and future directions,"MX Morris, A Rajesh, M Asaad… - The American …, 2023 - journals.sagepub.com",https://scholar.google.com//citations?user=yYT6jtkAAAAJ&hl=zh-CN&oe=GB&oi=sra," Deep learning (DL) is a subset of machine learning that is  Surgeons are now able to integrate deep learning tools into  Through this review, we explore the applications of deep learning "
Towards predicting equilibrium distributions for molecular systems with deep learning,"S Zheng, J He, C Liu, Y Shi, Z Lu, W Feng, F Ju… - arXiv preprint arXiv …, 2023 - arxiv.org",https://scholar.google.com//citations?user=xyG8l88AAAAJ&hl=zh-CN&oe=GB&oi=sra," Advances in deep learning have greatly improved structure  In this paper, we introduce a novel deep learning framework,  in thermodynamics, DiG employs deep neural networks to "
An empirical study of deep learning models for vulnerability detection,"B Steenhoek, MM Rahman, R Jiles… - 2023 IEEE/ACM 45th …, 2023 - ieeexplore.ieee.org",https://scholar.google.com//citations?user=tEkGJc0AAAAJ&hl=zh-CN&oe=GB&oi=sra," Abstract—Deep learning (DL) models of code have recently reported great progress for  In this paper, we surveyed and reproduced 9 state-of-the-art (SOTA) deep learning models on 2 "
Deep learning approaches for data augmentation in medical imaging: a review,"A Kebaili, J Lapuyade-Lahorgue, S Ruan - Journal of Imaging, 2023 - mdpi.com",https://scholar.google.com//citations?user=nCv8hqYAAAAJ&hl=zh-CN&oe=GB&oi=sra," Different approaches have been proposed to solve this generative learning trilemma of  of deep learning architectures for data augmentation, focusing on three types of deep generative "
Deep learning for neurodegenerative disorder (2016 to 2022): A systematic review,"J Chaki, M Woźniak - Biomedical Signal Processing and Control, 2023 - Elsevier",https://scholar.google.com//citations?user=ANqQqiAAAAAJ&hl=zh-CN&oe=GB&oi=sra," Deep learning methods The basic idea of different deep learning models in the literature will be explained in this section, which has been widely applied to medical imaging, particularly "
On the implicit bias in deep-learning algorithms,"G Vardi - Communications of the ACM, 2023 - dl.acm.org",https://scholar.google.com//citations?user=whVMhRMAAAAJ&hl=zh-CN&oe=GB&oi=sra, DEEP LEARNING HAS been highly successful in recent years and has led to dramatic improvements in multiple domains. Deep-learning algorithms often generalize quite well in 
DCNNBiLSTM: An efficient hybrid deep learning-based intrusion detection system,"V Hnamte, J Hussain - Telematics and Informatics Reports, 2023 - Elsevier",https://scholar.google.com//citations?user=dJ8izFAAAAAJ&hl=zh-CN&oe=GB&oi=sra," We are motivated by deep learnings exceptional performance in various detection and  (NIDS) based on Deep Learning (DL). In this study, we present a deep learning-based IDS for "
A novel deep learning-based approach for malware detection,"K Shaukat, S Luo, V Varadharajan - Engineering Applications of Artificial …, 2023 - Elsevier",https://scholar.google.com//citations?user=KqdaxxIAAAAJ&hl=zh-CN&oe=GB&oi=sra, image processing using transfer learning with state-of-the-art machine learning to improve  detector using a deep learning model as a feature extractor and a machine learning model as 
Deep learning for brain age estimation: A systematic review,"M Tanveer, MA Ganaie, I Beheshti, T Goel, N Ahmad… - Information …, 2023 - Elsevier",https://scholar.google.com//citations?user=JnQts0kAAAAJ&hl=zh-CN&oe=GB&oi=sra," Recently, deep neural networks (also referred to as deep learning) have  of deep learning for brain age estimation with neuroimaging data. We detail and analyze different deep learning "
A deep learning algorithm to predict risk of pancreatic cancer from disease trajectories,"D Placido, B Yuan, JX Hjaltelin, C Zheng, AD Haue… - Nature medicine, 2023 - nature.com",https://scholar.google.com//citations?user=EoACFEUAAAAJ&hl=zh-CN&oe=GB&oi=sra,"Pancreatic cancer is an aggressive disease that typically presents late with poor outcomes, indicating a pronounced need for early detection. In this study, we applied artificial "
