PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37373445","Deep Learning Approaches for lncRNA-Mediated Mechanisms: A Comprehensive Review of Recent Developments","Kim Y, Lee M.","Int J Mol Sci. 2023 Jun 18;24(12):10299. doi: 10.3390/ijms241210299.","Kim Y","Int J Mol Sci","2023","2023/06/28","PMC10299203","","10.3390/ijms241210299"
"37651607","Multimodal deep learning approaches for single-cell multi-omics data integration","Athaya T, Ripan RC, Li X, Hu H.","Brief Bioinform. 2023 Sep 20;24(5):bbad313. doi: 10.1093/bib/bbad313.","Athaya T","Brief Bioinform","2023","2023/08/31","PMC10516349","","10.1093/bib/bbad313"
"36731337","Deep learning for protein complex structure prediction","Bryant P.","Curr Opin Struct Biol. 2023 Apr;79:102529. doi: 10.1016/j.sbi.2023.102529. Epub 2023 Jan 31.","Bryant P","Curr Opin Struct Biol","2023","2023/02/02","","","10.1016/j.sbi.2023.102529"
"37716298","Deep learning in wastewater treatment: a critical review","Alvi M, Batstone D, Mbamba CK, Keymer P, French T, Ward A, Dwyer J, Cardell-Oliver R.","Water Res. 2023 Oct 15;245:120518. doi: 10.1016/j.watres.2023.120518. Epub 2023 Aug 25.","Alvi M","Water Res","2023","2023/09/16","","","10.1016/j.watres.2023.120518"
"37454742","Deep learning in preclinical antibody drug discovery and development","Zhou Y, Huang Z, Li W, Wei J, Jiang Q, Yang W, Huang J.","Methods. 2023 Oct;218:57-71. doi: 10.1016/j.ymeth.2023.07.003. Epub 2023 Jul 15.","Zhou Y","Methods","2023","2023/07/16","","","10.1016/j.ymeth.2023.07.003"
"37958843","Deep Learning for Genomics: From Early Neural Nets to Modern Large Language Models","Yue T, Wang Y, Zhang L, Gu C, Xue H, Wang W, Lyu Q, Dun Y.","Int J Mol Sci. 2023 Nov 1;24(21):15858. doi: 10.3390/ijms242115858.","Yue T","Int J Mol Sci","2023","2023/11/14","PMC10649223","","10.3390/ijms242115858"
"38057999","Review of machine learning and deep learning models for toxicity prediction","Guo W, Liu J, Dong F, Song M, Li Z, Khan MKH, Patterson TA, Hong H.","Exp Biol Med (Maywood). 2023 Nov;248(21):1952-1973. doi: 10.1177/15353702231209421. Epub 2023 Dec 6.","Guo W","Exp Biol Med (Maywood)","2023","2023/12/07","PMC10798180","","10.1177/15353702231209421"
"36723278","Deep Learning for Image Analysis in Kidney Care","Zhang H, Botler M, Kooman JP.","Adv Kidney Dis Health. 2023 Jan;30(1):25-32. doi: 10.1053/j.akdh.2022.11.003. Epub 2022 Dec 14.","Zhang H","Adv Kidney Dis Health","2023","2023/02/01","","","10.1053/j.akdh.2022.11.003"
"36739164","Applications of Deep Learning in Endocrine Neoplasms","Ramesh S, Dolezal JM, Pearson AT.","Surg Pathol Clin. 2023 Mar;16(1):167-176. doi: 10.1016/j.path.2022.09.014. Epub 2022 Dec 12.","Ramesh S","Surg Pathol Clin","2023","2023/02/04","","","10.1016/j.path.2022.09.014"
"36630908","Deep learning models will shape the future of stem cell research","Ouyang JF, Chothani S, Rackham OJL.","Stem Cell Reports. 2023 Jan 10;18(1):6-12. doi: 10.1016/j.stemcr.2022.11.007.","Ouyang JF","Stem Cell Reports","2023","2023/01/11","PMC9860061","","10.1016/j.stemcr.2022.11.007"
"38153770","Deep learning for platelet transfusion","Li N, Down DG.","Blood. 2023 Dec 28;142(26):2231-2232. doi: 10.1182/blood.2023022981.","Li N","Blood","2023","2023/12/28","","","10.1182/blood.2023022981"
"37014633","Structure-Based Drug Discovery with Deep Learning","Özçelik R, van Tilborg D, Jiménez-Luna J, Grisoni F.","Chembiochem. 2023 Jul 3;24(13):e202200776. doi: 10.1002/cbic.202200776. Epub 2023 Jun 13.","Özçelik R","Chembiochem","2023","2023/04/04","","","10.1002/cbic.202200776"
"36640453","Deep learning in regulatory genomics: from identification to design","Hu X, Fernie AR, Yan J.","Curr Opin Biotechnol. 2023 Feb;79:102887. doi: 10.1016/j.copbio.2022.102887. Epub 2023 Jan 12.","Hu X","Curr Opin Biotechnol","2023","2023/01/14","","","10.1016/j.copbio.2022.102887"
"36814848","Applications of deep learning in understanding gene regulation","Li Z, Gao E, Zhou J, Han W, Xu X, Gao X.","Cell Rep Methods. 2023 Jan 11;3(1):100384. doi: 10.1016/j.crmeth.2022.100384. eCollection 2023 Jan 23.","Li Z","Cell Rep Methods","2023","2023/02/23","PMC9939384","","10.1016/j.crmeth.2022.100384"
"37789241","Complexities of deep learning-based undersampled MR image reconstruction","Noordman CR, Yakar D, Bosma J, Simonis FFJ, Huisman H.","Eur Radiol Exp. 2023 Oct 4;7(1):58. doi: 10.1186/s41747-023-00372-7.","Noordman CR","Eur Radiol Exp","2023","2023/10/03","PMC10547669","","10.1186/s41747-023-00372-7"
"38142162","Deep Learning and Geriatric Mental Health","Aizenstein H, Moore RC, Vahia I, Ciarleglio A.","Am J Geriatr Psychiatry. 2024 Mar;32(3):270-279. doi: 10.1016/j.jagp.2023.11.008. Epub 2023 Dec 5.","Aizenstein H","Am J Geriatr Psychiatry","2024","2023/12/23","PMC10922602","NIHMS1949612","10.1016/j.jagp.2023.11.008"
"38189437","Deep learning applications in protein crystallography","Matinyan S, Filipcik P, Abrahams JP.","Acta Crystallogr A Found Adv. 2024 Jan 1;80(Pt 1):1-17. doi: 10.1107/S2053273323009300. Epub 2024 Jan 1.","Matinyan S","Acta Crystallogr A Found Adv","2024","2024/01/08","PMC10833361","","10.1107/S2053273323009300"
"36503039","Deep Learning in Bioinformatics and Biomedicine","Wang H, Hu X.","Methods. 2023 Jan;209:38-39. doi: 10.1016/j.ymeth.2022.12.001. Epub 2022 Dec 9.","Wang H","Methods","2023","2022/12/12","","","10.1016/j.ymeth.2022.12.001"
"38102755","Growing ecosystem of deep learning methods for modeling protein-protein interactions","Rogers JR, Nikolényi G, AlQuraishi M.","Protein Eng Des Sel. 2023 Jan 21;36:gzad023. doi: 10.1093/protein/gzad023.","Rogers JR","Protein Eng Des Sel","2023","2023/12/16","","","10.1093/protein/gzad023"
"37295580","Deep learning methods for bioinformatics and biomedicine","Wang Y, Xu L, Zou Q.","Methods. 2023 Aug;216:1-2. doi: 10.1016/j.ymeth.2023.06.003. Epub 2023 Jun 8.","Wang Y","Methods","2023","2023/06/09","","","10.1016/j.ymeth.2023.06.003"
"38026291","Medical image analysis using deep learning algorithms","Li M, Jiang Y, Zhang Y, Zhu H.","Front Public Health. 2023 Nov 7;11:1273253. doi: 10.3389/fpubh.2023.1273253. eCollection 2023.","Li M","Front Public Health","2023","2023/11/29","PMC10662291","","10.3389/fpubh.2023.1273253"
"37113071","Challenges of Deep Learning in Cancers","Zhang Y, Hong J.","Technol Cancer Res Treat. 2023 Jan-Dec;22:15330338231173495. doi: 10.1177/15330338231173495.","Zhang Y","Technol Cancer Res Treat","2023","2023/04/28","PMC10150420","","10.1177/15330338231173495"
"36931329","Deep learning for detection of drug hypersensitivity reactions","Blackley SV, Salem A, Zhou L.","J Allergy Clin Immunol. 2023 Aug;152(2):350-352. doi: 10.1016/j.jaci.2023.03.004. Epub 2023 Mar 16.","Blackley SV","J Allergy Clin Immunol","2023","2023/03/17","","","10.1016/j.jaci.2023.03.004"
"36735512","Deep Learning in Medicine","Heilbroner SP, Miotto R.","Clin J Am Soc Nephrol. 2023 Mar 1;18(3):397-399. doi: 10.2215/CJN.0000000000000080. Epub 2023 Jan 20.","Heilbroner SP","Clin J Am Soc Nephrol","2023","2023/02/03","PMC10103223","","10.2215/CJN.0000000000000080"
"36651724","Transformer-based deep learning for predicting protein properties in the life sciences","Chandra A, Tünnermann L, Löfstedt T, Gratz R.","Elife. 2023 Jan 18;12:e82819. doi: 10.7554/eLife.82819.","Chandra A","Elife","2023","2023/01/18","PMC9848389","","10.7554/eLife.82819"
"36807077","Deep Learning on Chromatin Accessibility","Kim DS.","Methods Mol Biol. 2023;2611:325-333. doi: 10.1007/978-1-0716-2899-7_18.","Kim DS","Methods Mol Biol","2023","2023/02/22","","","10.1007/978-1-0716-2899-7_18"
"36842415","Structure-based drug design with geometric deep learning","Isert C, Atz K, Schneider G.","Curr Opin Struct Biol. 2023 Apr;79:102548. doi: 10.1016/j.sbi.2023.102548. Epub 2023 Feb 24.","Isert C","Curr Opin Struct Biol","2023","2023/02/26","","","10.1016/j.sbi.2023.102548"
"36683406","Deep Learning in Population Genetics","Korfmann K, Gaggiotti OE, Fumagalli M.","Genome Biol Evol. 2023 Feb 3;15(2):evad008. doi: 10.1093/gbe/evad008.","Korfmann K","Genome Biol Evol","2023","2023/01/23","PMC9897193","","10.1093/gbe/evad008"
"37666948","Harnessing deep learning for population genetic inference","Huang X, Rymbekova A, Dolgova O, Lao O, Kuhlwilm M.","Nat Rev Genet. 2024 Jan;25(1):61-78. doi: 10.1038/s41576-023-00636-3. Epub 2023 Sep 4.","Huang X","Nat Rev Genet","2024","2023/09/04","","","10.1038/s41576-023-00636-3"
"37734830","Deep Learning: Orthopaedic Research Evolves for the Future","Taunton MJ, Liu SS, Mont MA.","J Arthroplasty. 2023 Oct;38(10):1919-1920. doi: 10.1016/j.arth.2023.08.070.","Taunton MJ","J Arthroplasty","2023","2023/09/21","","","10.1016/j.arth.2023.08.070"
"37055908","A Review on Deep Learning-driven Drug Discovery: Strategies, Tools and Applications","Sumathi S, Suganya K, Swathi K, Sudha B, Poornima A, Varghese CA, Aswathy R.","Curr Pharm Des. 2023 May 19;29(13):1013-1025. doi: 10.2174/1381612829666230412084137.","Sumathi S","Curr Pharm Des","2023","2023/04/14","","","10.2174/1381612829666230412084137"
"37446831","Recent Advances in Deep Learning for Protein-Protein Interaction Analysis: A Comprehensive Review","Lee M.","Molecules. 2023 Jul 2;28(13):5169. doi: 10.3390/molecules28135169.","Lee M","Molecules","2023","2023/07/14","PMC10343845","","10.3390/molecules28135169"
"37080758","Using traditional machine learning and deep learning methods for on- and off-target prediction in CRISPR/Cas9: a review","Sherkatghanad Z, Abdar M, Charlier J, Makarenkov V.","Brief Bioinform. 2023 May 19;24(3):bbad131. doi: 10.1093/bib/bbad131.","Sherkatghanad Z","Brief Bioinform","2023","2023/04/20","PMC10199778","","10.1093/bib/bbad131"
"35392788","Review on Deep Learning Methodologies in Medical Image Restoration and Segmentation","Hephzibah R, Anandharaj HC, Kowsalya G, Jayanthi R, Chandy DA.","Curr Med Imaging. 2023;19(8):844-854. doi: 10.2174/1573405618666220407112825.","Hephzibah R","Curr Med Imaging","2023","2022/04/08","","","10.2174/1573405618666220407112825"
"37897927","Live-cell imaging in the deep learning era","Pylvänäinen JW, Gómez-de-Mariscal E, Henriques R, Jacquemet G.","Curr Opin Cell Biol. 2023 Dec;85:102271. doi: 10.1016/j.ceb.2023.102271. Epub 2023 Oct 27.","Pylvänäinen JW","Curr Opin Cell Biol","2023","2023/10/28","","","10.1016/j.ceb.2023.102271"
"37665700","Deep Learning in Surgical Workflow Analysis: A Review of Phase and Step Recognition","Demir KC, Schieber H, Weise T, Roth D, May M, Maier A, Yang SH.","IEEE J Biomed Health Inform. 2023 Nov;27(11):5405-5417. doi: 10.1109/JBHI.2023.3311628. Epub 2023 Nov 7.","Demir KC","IEEE J Biomed Health Inform","2023","2023/09/04","","","10.1109/JBHI.2023.3311628"
"36318033","Deep Learning for Spine MRI: Reducing Time Not Quality","Hallinan JTPD.","Radiology. 2023 Mar;306(3):e222410. doi: 10.1148/radiol.222410. Epub 2022 Nov 1.","Hallinan JTPD","Radiology","2023","2022/11/01","","","10.1148/radiol.222410"
"37875121","Molecular geometric deep learning","Shen C, Luo J, Xia K.","Cell Rep Methods. 2023 Nov 20;3(11):100621. doi: 10.1016/j.crmeth.2023.100621. Epub 2023 Oct 23.","Shen C","Cell Rep Methods","2023","2023/10/24","PMC10694498","","10.1016/j.crmeth.2023.100621"
"37404112","Developing and Evaluating Deep Learning Algorithms for Object Detection: Key Points for Achieving Superior Model Performance","Oh JH, Kim HG, Lee KM.","Korean J Radiol. 2023 Jul;24(7):698-714. doi: 10.3348/kjr.2022.0765.","Oh JH","Korean J Radiol","2023","2023/07/05","PMC10323413","","10.3348/kjr.2022.0765"
"37236526","The recent progress of deep-learning-based in silico prediction of drug combination","Liu H, Fan Z, Lin J, Yang Y, Ran T, Chen H.","Drug Discov Today. 2023 Jul;28(7):103625. doi: 10.1016/j.drudis.2023.103625. Epub 2023 May 25.","Liu H","Drug Discov Today","2023","2023/05/26","","","10.1016/j.drudis.2023.103625"
"36308861","A review on deep-learning algorithms for fetal ultrasound-image analysis","Fiorentino MC, Villani FP, Di Cosmo M, Frontoni E, Moccia S.","Med Image Anal. 2023 Jan;83:102629. doi: 10.1016/j.media.2022.102629. Epub 2022 Oct 14.","Fiorentino MC","Med Image Anal","2023","2022/10/29","","","10.1016/j.media.2022.102629"
"37676602","Recent Deep Learning Applications to Structure-Based Drug Design","Verburgt J, Jain A, Kihara D.","Methods Mol Biol. 2024;2714:215-234. doi: 10.1007/978-1-0716-3441-7_13.","Verburgt J","Methods Mol Biol","2024","2023/09/07","PMC10578466","NIHMS1935544","10.1007/978-1-0716-3441-7_13"
"36924732","A review of deep learning-based multiple-lesion recognition from medical images: classification, detection and segmentation","Jiang H, Diao Z, Shi T, Zhou Y, Wang F, Hu W, Zhu X, Luo S, Tong G, Yao YD.","Comput Biol Med. 2023 May;157:106726. doi: 10.1016/j.compbiomed.2023.106726. Epub 2023 Mar 1.","Jiang H","Comput Biol Med","2023","2023/03/16","","","10.1016/j.compbiomed.2023.106726"
"38438821","Shallow and deep learning classifiers in medical image analysis","Prinzi F, Currieri T, Gaglio S, Vitabile S.","Eur Radiol Exp. 2024 Mar 5;8(1):26. doi: 10.1186/s41747-024-00428-2.","Prinzi F","Eur Radiol Exp","2024","2024/03/04","PMC10912073","","10.1186/s41747-024-00428-2"
"38177962","Deep learning to estimate brain age","Rastogi A.","Nat Comput Sci. 2023 Jan;3(1):3. doi: 10.1038/s43588-023-00398-2.","Rastogi A","Nat Comput Sci","2023","2024/01/04","","","10.1038/s43588-023-00398-2"
"37962508","Deep Learning Using CT to Improve Chronic Total Occlusion Recanalization Success","Pundziute-do Prado G.","Radiology. 2023 Nov;309(2):e232802. doi: 10.1148/radiol.232802.","Pundziute-do Prado G","Radiology","2023","2023/11/14","","","10.1148/radiol.232802"
"37972559","A new age in protein design empowered by deep learning","Khakzad H, Igashov I, Schneuing A, Goverde C, Bronstein M, Correia B.","Cell Syst. 2023 Nov 15;14(11):925-939. doi: 10.1016/j.cels.2023.10.006.","Khakzad H","Cell Syst","2023","2023/11/16","","","10.1016/j.cels.2023.10.006"
"36635192","Ultrasound Signal Processing: From Models to Deep Learning","Luijten B, Chennakeshava N, Eldar YC, Mischi M, van Sloun RJG.","Ultrasound Med Biol. 2023 Mar;49(3):677-698. doi: 10.1016/j.ultrasmedbio.2022.11.003. Epub 2023 Jan 10.","Luijten B","Ultrasound Med Biol","2023","2023/01/12","","","10.1016/j.ultrasmedbio.2022.11.003"
"38263838","Deep learning for automated segmentation in radiotherapy: a narrative review","Bibault JE, Giraud P.","Br J Radiol. 2024 Jan 23;97(1153):13-20. doi: 10.1093/bjr/tqad018.","Bibault JE","Br J Radiol","2024","2024/01/24","","","10.1093/bjr/tqad018"
"37028313","The Big Bang of Deep Learning in Ultrasound-Guided Surgery: A Review","Masoumi N, Rivaz H, Hacihaliloglu I, Ahmad MO, Reinertsen I, Xiao Y.","IEEE Trans Ultrason Ferroelectr Freq Control. 2023 Sep;70(9):909-919. doi: 10.1109/TUFFC.2023.3255843. Epub 2023 Aug 29.","Masoumi N","IEEE Trans Ultrason Ferroelectr Freq Control","2023","2023/04/07","","","10.1109/TUFFC.2023.3255843"
"37903113","Deep learning assisted sparse array ultrasound imaging","Qi B, Tian X, Fu L, Li Y, Chan KS, Ling C, Yim W, Zhang S, Jokerst JV.","PLoS One. 2023 Oct 30;18(10):e0293468. doi: 10.1371/journal.pone.0293468. eCollection 2023.","Qi B","PLoS One","2023","2023/10/30","PMC10615290","","10.1371/journal.pone.0293468"
"37539775","Developing and deploying deep learning models in brain magnetic resonance imaging: A review","Aggarwal K, Manso Jimeno M, Ravi KS, Gonzalez G, Geethanath S.","NMR Biomed. 2023 Dec;36(12):e5014. doi: 10.1002/nbm.5014. Epub 2023 Aug 4.","Aggarwal K","NMR Biomed","2023","2023/08/04","","","10.1002/nbm.5014"
"37611994","Deep Learning for Premature Ventricular Contraction-Cardiomyopathy: Are We Digging Deep Enough?","Kowlgi GN, Attia ZI, Asirvatham SJ.","JACC Clin Electrophysiol. 2023 Aug;9(8 Pt 2):1452-1454. doi: 10.1016/j.jacep.2023.07.003.","Kowlgi GN","JACC Clin Electrophysiol","2023","2023/08/23","","","10.1016/j.jacep.2023.07.003"
"37936066","Hybrid deep learning approach to improve classification of low-volume high-dimensional data","Mavaie P, Holder L, Skinner MK.","BMC Bioinformatics. 2023 Nov 7;24(1):419. doi: 10.1186/s12859-023-05557-w.","Mavaie P","BMC Bioinformatics","2023","2023/11/07","PMC10631218","","10.1186/s12859-023-05557-w"
"37043879","All answers are in the images: A review of deep learning for cerebrovascular segmentation","Chen C, Zhou K, Wang Z, Zhang Q, Xiao R.","Comput Med Imaging Graph. 2023 Jul;107:102229. doi: 10.1016/j.compmedimag.2023.102229. Epub 2023 Apr 6.","Chen C","Comput Med Imaging Graph","2023","2023/04/12","","","10.1016/j.compmedimag.2023.102229"
"36763004","Intelligent Discrete Deep Learning Based Classification Methodology in Chemometrics","Khashei M, Nazgouei E, Bakhtiarvand N.","J Chem Inf Model. 2023 Apr 10;63(7):1935-1946. doi: 10.1021/acs.jcim.2c01535. Epub 2023 Feb 10.","Khashei M","J Chem Inf Model","2023","2023/02/10","","","10.1021/acs.jcim.2c01535"
"38291232","Deep learning for protein structure prediction and design-progress and applications","Jänes J, Beltrao P.","Mol Syst Biol. 2024 Mar;20(3):162-169. doi: 10.1038/s44320-024-00016-x. Epub 2024 Jan 30.","Jänes J","Mol Syst Biol","2024","2024/01/30","PMC10912668","","10.1038/s44320-024-00016-x"
"37390192","Untrained deep learning-based differential phase-contrast microscopy","Seong B, Kim I, Moon T, Ranathunga M, Kim D, Joo C.","Opt Lett. 2023 Jul 1;48(13):3607-3610. doi: 10.1364/OL.493391.","Seong B","Opt Lett","2023","2023/06/30","","","10.1364/OL.493391"
"37552450","A survey on advanced machine learning and deep learning techniques assisting in renewable energy generation","B SR.","Environ Sci Pollut Res Int. 2023 Sep;30(41):93407-93421. doi: 10.1007/s11356-023-29064-w. Epub 2023 Aug 8.","B SR","Environ Sci Pollut Res Int","2023","2023/08/08","","","10.1007/s11356-023-29064-w"
"37440225","Deep Learning, the Retina, and Parkinson Disease","Hamedani AG.","JAMA Ophthalmol. 2023 Sep 1;141(9):911-912. doi: 10.1001/jamaophthalmol.2023.2918.","Hamedani AG","JAMA Ophthalmol","2023","2023/07/13","","","10.1001/jamaophthalmol.2023.2918"
"37047543","A Systematic Review of Deep Learning Methodologies Used in the Drug Discovery Process with Emphasis on In Vivo Validation","Koutroumpa NM, Papavasileiou KD, Papadiamantis AG, Melagraki G, Afantitis A.","Int J Mol Sci. 2023 Mar 31;24(7):6573. doi: 10.3390/ijms24076573.","Koutroumpa NM","Int J Mol Sci","2023","2023/04/13","PMC10095548","","10.3390/ijms24076573"
"38402744","Deep learning in modeling protein complex structures: From contact prediction to end-to-end approaches","Lin P, Li H, Huang SY.","Curr Opin Struct Biol. 2024 Apr;85:102789. doi: 10.1016/j.sbi.2024.102789. Epub 2024 Feb 24.","Lin P","Curr Opin Struct Biol","2024","2024/02/25","","","10.1016/j.sbi.2024.102789"
"38219643","Deep learning for unsupervised domain adaptation in medical imaging: Recent advancements and future perspectives","Kumari S, Singh P.","Comput Biol Med. 2024 Mar;170:107912. doi: 10.1016/j.compbiomed.2023.107912. Epub 2023 Dec 28.","Kumari S","Comput Biol Med","2024","2024/01/14","","","10.1016/j.compbiomed.2023.107912"
"37440221","Deep Learning, the Retina, and Parkinson Disease-Reply","Yoon WT, Song SJ, Shin J.","JAMA Ophthalmol. 2023 Sep 1;141(9):912. doi: 10.1001/jamaophthalmol.2023.2921.","Yoon WT","JAMA Ophthalmol","2023","2023/07/13","","","10.1001/jamaophthalmol.2023.2921"
"38058114","From pixels to insights: Machine learning and deep learning for bioimage analysis","Jan M, Spangaro A, Lenartowicz M, Mattiazzi Usaj M.","Bioessays. 2024 Feb;46(2):e2300114. doi: 10.1002/bies.202300114. Epub 2023 Dec 6.","Jan M","Bioessays","2024","2023/12/07","","","10.1002/bies.202300114"
"38082985","Deep Learning Empowered Fresnel-based Lensless Fluorescence Microscopy()","Feshki M, De Koninck Y, Gosselin B.","Annu Int Conf IEEE Eng Med Biol Soc. 2023 Jul;2023:1-4. doi: 10.1109/EMBC40787.2023.10339990.","Feshki M","Annu Int Conf IEEE Eng Med Biol Soc","2023","2023/12/12","","","10.1109/EMBC40787.2023.10339990"
"37594633","Deep Learning Model for Predicting Airway Organoid Differentiation","Lim MH, Shin S, Park K, Park J, Kim SW, Basurrah MA, Lee S, Kim DH.","Tissue Eng Regen Med. 2023 Dec;20(7):1109-1117. doi: 10.1007/s13770-023-00563-8. Epub 2023 Aug 18.","Lim MH","Tissue Eng Regen Med","2023","2023/08/18","PMC10645934","","10.1007/s13770-023-00563-8"
"38126237","Deep Learning and Biased Prediction: More Questions Than Answers?","Rosenberg MA.","Circ Heart Fail. 2024 Jan;17(1):e011368. doi: 10.1161/CIRCHEARTFAILURE.123.011368. Epub 2023 Dec 21.","Rosenberg MA","Circ Heart Fail","2024","2023/12/21","PMC10842806","NIHMS1947869","10.1161/CIRCHEARTFAILURE.123.011368"
"36207576","Applying deep learning attenuation correction in the presence of motion","Nye JA.","J Nucl Cardiol. 2023 Jun;30(3):1038-1039. doi: 10.1007/s12350-022-03115-0. Epub 2022 Oct 7.","Nye JA","J Nucl Cardiol","2023","2022/10/07","","","10.1007/s12350-022-03115-0"
"37278628","Innovations in Deep Learning to Predict Individual Risk and Treatment Outcome","Langs G.","Radiology. 2023 Jun;307(5):e231116. doi: 10.1148/radiol.231116.","Langs G","Radiology","2023","2023/06/06","","","10.1148/radiol.231116"
"36416869","Computer-aided detection and diagnosis/radiomics/machine learning/deep learning in medical imaging","","Med Phys. 2023 Jun;50 Suppl 1:50-53. doi: 10.1002/mp.16025.","","Med Phys","2023","2022/11/23","","","10.1002/mp.16025"
"36976427","A compact review of progress and prospects of deep learning in drug discovery","Li H, Zou L, Kowah JAH, He D, Liu Z, Ding X, Wen H, Wang L, Yuan M, Liu X.","J Mol Model. 2023 Mar 28;29(4):117. doi: 10.1007/s00894-023-05492-w.","Li H","J Mol Model","2023","2023/03/28","","","10.1007/s00894-023-05492-w"
"37567408","Advances and applications of machine learning and deep learning in environmental ecology and health","Cui S, Gao Y, Huang Y, Shen L, Zhao Q, Pan Y, Zhuang S.","Environ Pollut. 2023 Oct 15;335:122358. doi: 10.1016/j.envpol.2023.122358. Epub 2023 Aug 9.","Cui S","Environ Pollut","2023","2023/08/11","","","10.1016/j.envpol.2023.122358"
"37394613","Advances in deep learning: From diagnosis to treatment","Huang T, Ma L, Zhang B, Liao H.","Biosci Trends. 2023 Jul 11;17(3):190-192. doi: 10.5582/bst.2023.01148. Epub 2023 Jun 30.","Huang T","Biosci Trends","2023","2023/07/02","","","10.5582/bst.2023.01148"
"38147870","Machine and Deep Learning Dominate Recent Innovations in Sensors, Signals and Imaging Informatics","Baumgartner C, Rittner L, Deserno TM; Section Editors for the IMIA Yearbook Section on Sensors, Signals and Imaging Informatics (SSII).","Yearb Med Inform. 2023 Aug;32(1):282-285. doi: 10.1055/s-0043-1768743. Epub 2023 Dec 26.","Baumgartner C","Yearb Med Inform","2023","2023/12/26","PMC10751153","","10.1055/s-0043-1768743"
"37561655","A Review on the Recent Applications of Deep Learning in Predictive Drug Toxicological Studies","Sinha K, Ghosh N, Sil PC.","Chem Res Toxicol. 2023 Aug 21;36(8):1174-1205. doi: 10.1021/acs.chemrestox.2c00375. Epub 2023 Aug 10.","Sinha K","Chem Res Toxicol","2023","2023/08/10","","","10.1021/acs.chemrestox.2c00375"
"38302219","Artificial neural networks and deep learning","Geubbelmans M, Rousseau AJ, Burzykowski T, Valkenborg D.","Am J Orthod Dentofacial Orthop. 2024 Feb;165(2):248-251. doi: 10.1016/j.ajodo.2023.11.003.","Geubbelmans M","Am J Orthod Dentofacial Orthop","2024","2024/02/01","","","10.1016/j.ajodo.2023.11.003"
